Condition,Rarity,Typical Minimum Age,Typical Maximum Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,,,,,,,,,,
"Epidermal Growth Factor Receptor Positive Non,Small Cell Lung Cancer",Common,40,80,both,Coughing,chest pain,shortness of breath,Weight loss,fatigue,weakness,loss of appetite,coughing up blood,hoarseness,wheezing,recurring respiratory infections,bone pain,headache,blood clotting issues,,,,,,,,,,,
Epidermolysis Bullosa,Rare,0,100,both,Blisters,skin erosions,skin fragility,scarring,nail dystrophy,tooth enamel abnormalities,skin infections,skin inflammation,anemia,malnutrition,difficulty swallowing,esophageal strictures,joint contractures,corneal abrasions,vision impairment,,,,,,,,,,
Epilepsy,Common,0,100,both,Seizures,Confusion,"Brief episodes of staring or ""absence"" without memory loss",loss of consciousness,muscle stiffness,muscle jerking,convulsions,fatigue,Headache,memory loss,difficulty concentrating,anxiety,depression,mood swings,hallucinations,Difficulty sleeping,nausea,vomiting,Abdominal Pain,tingling sensations,changes in vision or hearing,deja vu or jamais vu,déjà vu,déjà rêvé,déjà vecu
Episodic Cluster Headache,Uncommon,20,50,both,Severe headache usually around one eye,Forehead or facial sweating,nasal congestion or runny nose,red or watery eye,drooping eyelid(s),restlessness,agitation,Sensitivity to light (photophobia),Sensitivity to sound,,,,,,,,,,,,,,,,
Epistaxis,Common,0,100,both,Nosebleeds,blood dripping from the nose,blood clots in nasal discharge,headache,dizziness,lightheadedness,fainting,weakness,fatigue,,,,,,,,,,,,,,,,
Epithelial Ovarian Cancer,Common,40,80,female,bloating or swelling,pelvic pain or pressure,difficulty eating or feeling full quickly,unusual urinary urgency and frequency,constipation,changes in bowel habits,Weight loss,fatigue,back pain,menstrual changes,,,,,,,,,,,,,,,
Epithelial Ovarian Cancer With Brca Mutation,Common,40,80,female,Same symptoms as epithelial ovarian cancer,increased risk of breast and ovarian cancer,family history of breast or ovarian cancer,genetic testing positive for BRCA1 or BRCA2 mutations,,,,,,,,,,,,,,,,,,,,,
Epithelioid Sarcoma,Rare,10,40,both,Firm lump or mass,painless swelling or nodule,skin changes over the tumor site,limited joint movement near the tumor,fatigue,weight loss,fever,night sweats,loss of appetite,,,,,,,,,,,,,,,,
"Er,Positive, Her2,Negative, Esr1,Mutated Breast Cancer",Rare,40,80,female,Breast lump or mass,changes in breast size or shape,nipple discharge,nipple inversion,skin dimpling or puckering,redness or thickening of breast skin,breast pain,swollen lymph nodes in the armpit,bone pain,shortness of breath,Yellowing of the skin and eyes (jaundice),headache,confusion,vision changes,weakness,fatigue,nausea,vomiting,loss of appetite,,,,,,
"Erdheim,Chester Disease With Braf V600 Mutation",Very rare,30,70,both,Bone pain,limb swelling,fatigue,weight loss,fever,frequent urination,excessive thirst,Rash,vision changes,Abdominal Pain,neurological symptoms,shortness of breath,,,,,,,,,,,,,
Erectile Dysfunction,Common,20,80,male,Difficulty achieving or maintaining an erection,reduced sexual desire,premature ejaculation,delayed ejaculation,inability to achieve orgasm,,,,,,,,,,,,,,,,,,,,
Erosive Esophagitis,Common,18,100,both,Difficulty swallowing,chest pain,heartburn,regurgitation,nausea,vomiting,Abdominal Pain,loss of appetite,coughing,hoarseness,,,,,,,,,,,,,,,
Erosive Lichen Planus,Rare,30,70,both,White,lacy patches in the mouth,painful sores or ulcers,red gums,metallic taste,sensitivity to hot or cold foods,hair loss,nail changes,itching,burning sensation,Swollen gums,,,,,,,,,,,,,,
Erysipelas,Uncommon,0,100,both,Red,swollen,and shiny skin,warmth over the affected area,fever,chills,fatigue,malaise,swollen lymph nodes,,,,,,,,,,,,,,,,
Erysipeloid,Rare,0,100,both,Red,tender,and swollen lesion,usually on the hands or fingers,fever,malaise,joint pain,muscle pain,,,,,,,,,,,,,,,,,
Erysipelothrix Endocarditis,Rare,40,80,both,Fever,chills,weakness,fatigue,shortness of breath,chest pain,heart murmur,Rash,joint pain,,,,,,,,,,,,,,,,
Erythema Multiforme,Common,0,100,both,"Target,like skin lesions",red or purple patches,blistering,itching,burning sensation,fever,fatigue,joint pain,mucous membrane involvement,,,,,,,,,,,,,,,,
Erythema Nodosum Leprosum,Rare,20,50,both,Painful,red or purple nodules,fever,malaise,joint pain,muscle pain,skin ulcers,nerve damage,,,,,,,,,,,,,,,,,
Erythrasma,Uncommon,0,100,both,"Brownish,red patches on skin folds",itching,burning sensation,mild scaling,"coral,red fluorescence under Wood's lamp",,,,,,,,,,,,,,,,,,,,
Erythroblastic Anemia,Rare,0,100,both,Fatigue,weakness,paleness,shortness of breath,dizziness,headache,rapid heart rate,enlarged spleen,yellowish skin,,Easy bleeding,,,,,,,,,,,,,,
Erythroid Leukemia,Rare,0,100,both,Fatigue,weakness,paleness,shortness of breath,dizziness,easy bruising,frequent infections,enlarged lymph nodes,bone pain,abdominal pain,yellowish skin,,,,,,,,,,,,,,
Eschar Removal From Thermal Burn Wound,Rare,0,100,both,Pain,swelling,redness,blackened tissue,foul odor,fever,chills,Rapid heart rate,signs of infection,,,,,,,,,,,,,,,,
Escherichia Coli Meningitis,Very rare,0,100,both,Fever,headache,stiff neck,nausea,vomiting,Sensitivity to light (photophobia),confusion,irritability,seizures,coma,,,,,,,,,,,,,,,
Escherichia Coli Pneumonia,Rare,0,100,both,Fever,Coughing,chest pain,difficulty breathing,rapid breathing,fatigue,weakness,confusion,,,,,,,,,,,,,,,,,
Esophageal Candidiasis,Rare,0,100,both,Difficulty swallowing,pain or discomfort in the chest or upper abdomen,nausea,vomiting,white patches in the mouth or throat,Lesions in the mouth or throat,,,,,,,,,,,,,,,,,,,
Esophageal Squamous Cell Carcinoma,Common,40,80,both,Difficulty swallowing,Weight loss,Chest pain,hoarseness,Coughing,vomiting blood,difficulty breathing,hiccups,bone pain,,,,,,,,,,,,,,,,
Esotropia,Common,0,100,both,Misalignment of the eyes,double vision,eye strain,Headache,difficulty focusing,,,,,,,,,,,,,,,,,,,,
Essential Fatty Acid Deficiency,Rare,0,100,both,Dry,scaly skin,dry eyes,dry hair,brittle nails,poor wound healing,frequent infections,fatigue,poor growth in children,vision problems,,,,,,,,,,,,,,,
Essential Thrombocytosis,Rare,40,80,both,Headache,weakness,dizziness,lightheadedness,chest pain,numbness or tingling in the hands or feet,vision changes,easy bruising,redness or warmth in the hands or feet,,Easy bleeding,,,,,,,,,,,,,,
Essential Tremor,Common,0,100,both,Involuntary shaking or trembling of the hands,arms,head,voice,or other body parts,worsened with movement or stress,improvement with rest,difficulty with fine motor tasks,,,,,,,,,,,,,,,,,
"Estrogen Receptor (Er),Positive, Her2,Negative Postmenopausal Advanced Breast Cancer",Common,50,80,female,Fatigue,weight loss,bone pain,shortness of breath,weakness,swelling of the legs,Yellowing of the skin and eyes (jaundice),Yellowing of the skin and eyes (jaundice),vomiting,loss of appetite,Abdominal Pain,constipation,headache,confusion,,,,,,,,,,,
Ethylene Glycol Toxicity,Rare,0,100,both,Nausea,vomiting,Abdominal Pain,decreased level of consciousness,seizures,respiratory distress,metabolic acidosis,renal failure,calcium oxalate crystalluria,neurologic symptoms,,,,,,,,,,,,,,,
Eubacterium Liver Abscess,Rare,18,100,both,Abdominal Pain,fever,Yellowing of the skin and eyes (jaundice),loss of appetite,nausea,vomiting,fatigue,weight loss,chills,diarrhea,,,,,,,,,,,,,,,
Eubacterium Peritonitis,Rare,18,100,both,Abdominal Pain,fever,nausea,vomiting,loss of appetite,fatigue,Rapid heart rate,dehydration,reduced urine output,changes in mental status,,,,,,,,,,,,,,,
Eumycotic Mycetoma,Rare,20,80,both,Swelling,pain,discharge,skin lesions,redness,itching,fever,fatigue,malaise,lymph node enlargement,,,,,,,,,,,,,,,
Eustachian Tube Congestion,Common,0,100,both,Ear pain,muffled hearing,pressure sensation in the ear,tinnitus,dizziness or vertigo,fluid drainage from the ear,headache,fever,,,,,,,,,,,,,,,,,
Ewing's Sarcoma,Rare,10,30,both,Bone pain,swelling,lump in affected area,fever,fatigue,Weight loss,limited range of motion,bone fracture,numbness or tingling,anemia,difficulty breathing,,,,,,,,,,,,,,
Exacerbation Of Chronic Obstructive Pulmonary Disease,Common,40,80,both,Shortness of breath,wheezing,coughing,increased sputum production,chest tightness,fatigue,,,,,,,,,,,,,,,,,,,
Excess Submental Fat,Uncommon,18,100,both,Increased fullness or roundness under the chin,double chin appearance,,,,,,,,,,,,,,,,,,,,,,,
Excessive Vomiting In Pregnancy,Common,18,40,female,Vomiting,nausea,dehydration,weight loss,electrolyte imbalance,,,,,,,,,,,,,,,,,,,,
"Exercise,Induced Bronchospasm Prevention",Uncommon,0,100,both,Shortness of breath,wheezing,chest tightness,coughing,decreased exercise tolerance,,,,,,,,,,,,,,,,,,,,
Exfoliative Dermatitis,Rare,0,100,both,Skin redness,scaling,peeling,itching,burning sensation,swelling,blisters,fever,,,,,,,,,,,,,,,,,
Exocrine Pancreatic Insufficiency,Common,0,100,both,Digestive issues,including diarrhea,oily stools,abdominal pain,bloating,weight loss,,,,,,,,,,,,,,,,,,,
Exposure Keratoconjunctivitis,Common,0,100,both,Eye redness,irritation,burning sensation,watering,blurred vision,,,,,,,,,,,,,,,,,,,,
Exposure To Americium Radiation,Very rare,0,100,both,Radiation sickness symptoms,Nausea,vomiting,headache,fever,,hair loss,skin burns,,,,,,,,,,,,,,,,,
Exposure To Berkelium Radiation,Very rare,0,100,both,Radiation sickness symptoms,Nausea,vomiting,headache,fever,fatigue,hair loss,skin burns,,,,,,,,,,,,,,,,,
Exposure To Californium Radiation,Very rare,0,100,both,Radiation sickness symptoms,Nausea,vomiting,headache,fever,fatigue,hair loss,skin burns,,,,,,,,,,,,,,,,,
Exposure To Cesium Radiation,Very rare,0,100,both,Nausea,vomiting,headache,fever,fatigue,hair loss,skin burns,,,,,,,,,,,,,,,,,,
Exposure To Curium Radiation,Very rare,0,100,both,Nausea,vomiting,headache,fever,fatigue,hair loss,skin burns,,,,,,,,,,,,,,,,,,
Exposure To Plutonium Radiation,Very rare,0,100,both,Nausea,vomiting,headache,fever,fatigue,hair loss,skin burns,,,,,,,,,,,,,,,,,,
"Extensive,Stage Small Cell Lung Cancer",Common,40,80,both,Coughing,wheezing,chest pain,shortness of breath,fatigue,Weight loss,bone pain,,,,,,,,,,,,,,,,,,
External Condylomata Acuminata,Common,18,50,both,Genital warts,itching,burning sensation,discomfort,bleeding,"cauliflower,like growths",,,,,,,,,,,,,,,,,,,
Extravasation Injury,Uncommon,0,100,both,Swelling,pain,redness,blistering,tissue damage,inflammation,,,,,,,,,,,,,,,,,,,
Extravasation Injury From Anthracycline Injection,Rare,0,100,both,Swelling,pain,redness,blistering,tissue damage,inflammation,,,,,,,,,,,,,,,,,,,
Fabry Disease,Rare,0,100,both,Burning or tingling pain in the hands and feet,clusters of small,dark red spots on the skin,decreased sweating,gastrointestinal issues,hearing loss,heart problems,,,,,,,,,,,,,,,,,,
Facial Angiofibroma Associated With Tuberous Sclerosis Complex,Common,0,100,both,Small,firm,"pink or flesh,colored bumps on the face",forehead,or cheeks,,,,,,,,,,,,,,,,,,,,
Facial Fine Wrinkling,Common,30,100,both,Small lines or creases on the face,typically around the eyes,mouth,and forehead,,,,,,,,,,,,,,,,,,,,,
Facial Hyperpigmentation,Common,20,80,both,Dark patches or spots on the skin,usually on the face,,,,,,,,,,,,,,,,,,,,,,,
Facial Hypopigmentation,Common,20,80,both,Lightening or loss of skin color,often on the face,,,,,,,,,,,,,,,,,,,,,,,
Facial Lentigo,Common,20,80,both,dark spots on the skin,,,,,,,,,,,,,,,,,,,,,,,,
Familial Cold Autoinflammatory Syndrome,Rare,0,100,both,Fever,rash,joint pain,,,,,,,,,,,,,,,,,,,,,,
Familial Hyperkalemic Periodic Paralysis,Very rare,10,50,both,Muscle weakness or paralysis,,,,,,,,,,,,,,,,,,,,,,,,
Familial Hypokalemic Periodic Paralysis,Rare,10,50,both,Muscle weakness or paralysis,,,,,,,,,,,,,,,,,,,,,,,,
Familial Mediterranean Fever,Uncommon,0,100,both,Fever,Abdominal Pain,chest pain,joint pain,and skin rash,,,,,,,,,,,,,,,,,,,,
Familial Periodic Paralysis,Rare,10,50,both,Episodes of muscle weakness or paralysis that come and go,,,,,,,,,,,,,,,,,,,,,,,,
Fascioliasis,Uncommon,0,100,both,Abdominal Pain,fever,nausea,vomiting,fatigue,Yellowing of the skin and eyes (jaundice),,,,,,,,,,,,,,,,,,,
Fatigue,Common,0,100,both,Generalized tiredness,lack of energy,lethargy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Febrile Neutropenic Patient Presumed Infection Treatment,Common,0,100,both,Fever,low white blood cell count (neutropenia),susceptibility to infections,,,,,,,,,,,,,,,,,,,,,,
Female Facial Hirsutism,Common,18,100,female,Excessive hair growth on the face in females,,,,,,,,,,,,,,,,,,,,,,,,
Female Genital Tract Infection,Uncommon,0,100,both,Vaginal discharge,itching,burning sensation,pain during intercourse,urinary symptoms,,,,,,,,,,,,,,,,,,,,
Female Hypogonadism,Rare,18,100,female,Absent or irregular menstrual periods,decreased libido,hot flashes,mood changes,,,,,,,,,,,,,,,,,,,,,
Female Urethral Syndrome,Uncommon,18,50,female,Pelvic pain,urinary urgency,,discomfort during urination,,,,,,,,,,,,,,,,,,,,,
Fever,Common,0,100,both,Elevated body temperature,chills,sweating,headache,muscle aches,,,,,,,,,,,,,,,,,,,,
"Fgf23,Related Hypophosphatemia In Tumor,Induced Osteomalacia Due To Phosphaturic Mesenchymal Tumor",Very rare,30,70,both,Low phosphate levels,bone pain,fractures,muscle weakness,,,,,,,,,,,,,,,,,,,,,
Fibrocystic Breast Disease,Common,20,50,female,Breast lumps,breast pain or discomfort,breast cysts,,,,,,,,,,,,,,,,,,,,,,
Fibrodysplasia Ossificans Progressiva,Rare,0,100,both,Abnormal bone growth,joint stiffness,limited range of motion,,,,,,,,,,,,,,,,,,,,,,
Fibromyalgia,Common,20,60,both,Widespread muscle pain,fatigue,Difficulty sleeping,cognitive difficulties,,,,,,,,,,,,,,,,,,,,,
Fine Wrinkling,Common,30,100,both,Small lines or creases on the skin,typically on the face,,,,,,,,,,,,,,,,,,,,,,,
Fingernail Onychomycosis,Common,0,100,both,Thickened,discolored,or brittle nails,nail pain,nail separation from the nail bed,,,,,,,,,,,,,,,,,,,,
Flatulence,Common,0,100,both,Excessive gas in the digestive tract,bloating,belching,,,,,,,,,,,,,,,,,,,,,,
Flu,Common,0,100,both,Fever,chills,body aches,fatigue,headache,,,,,,,,,,,,,,,,,,,,
Fluid Retention Associated With Menses,Common,12,50,female,bloating,weight gain,breast tenderness,,,,,,,,,,,,,,,,,,,,,,
Fluorescein Sodium Stain Procedure On The Eye,Common,0,100,both,Temporary discoloration of the eye after the procedure,mild discomfort,blurred vision,,,,,,,,,,,,,,,,,,,,,,
Focal Epilepsy,Common,0,100,both,Seizures,,,,,,,,,,,,,,,,,,,,,,,,
Folate Deficiency,Common,0,100,both,Fatigue,weakness,shortness of breath,irritability,Paleness,,,,,,,,,,,,,,,,,,,,
Folate Receptor Alpha Positive Epithelial Ovarian Cancer,Common,30,80,female,Abdominal Pain,bloating,changes in bowel habits,fatigue,weight loss,,,,,,,,,,,,,,,,,,,,
Folic Acid Deficient Megaloblastic Anemia,Common,0,100,both,Fatigue,weakness,shortness of breath,Paleness,dizziness,headache,,,,,,,,,,,,,,,,,,,
Follicle Stimulation For Assisted Fertilization Procedure,Common,18,50,both,Hormonal fluctuations,Abdominal pain,bloating,nausea,vomiting,,,,,,,,,,,,,,,,,,,,
Follicle Stimulation For Fertility Preservation,Common,18,50,both,Hormonal fluctuations,discomfort or pain at the injection site,ovarian hyperstimulation syndrome (OHSS) symptoms (Abdominal Pain,bloating,nausea,vomiting),,,,,,,,,,,,,,,,,,,
Follicular Lymphoma,Common,20,80,both,Swollen lymph nodes,fever,night sweats,fatigue,weight loss,,,,,,,,,,,,,,,,,,,,
Follicular Lymphoma With Ezh2 Mutation,Rare,20,80,both,Swollen lymph nodes,fever,night sweats,fatigue,weight loss,,,,,,,,,,,,,,,,,,,,
Folliculitis,Common,0,100,both,Red,inflamed skin,Pustules,,,,,,,,,,,,,,,,,,,,,,
Friedreich's Ataxia,Rare,5,50,both,Progressive lack of coordination and muscle control,muscle weakness,speech problems,vision impairment,,,,,,,,,,,,,,,,,,,,,
"Full,Thickness Articular Cartilage Defect Of The Knee",Rare,18,80,both,Knee pain,swelling,limited range of motion,stiffness,joint locking or catching,,,,,,,,,,,,,,,,,,,,
Functional Constipation,Common,0,100,both,Infrequent bowel movements,difficulty passing stools,bloating,,,,,,,,,,,,,,,,,,,,,,
Fungal Blepharitis,Rare,0,100,both,Redness,swelling,itching,Itchy eyelids,flaking or crusting along the eyelash line,,,,,,,,,,,,,,,,,,,,
Fungal Conjunctivitis,Rare,0,100,both,Redness,itching,burning sensation,discharge from the eye,blurred vision,,,,,,,,,,,,,,,,,,,,
Fungal Endocarditis,Rare,0,100,both,Fever,chills,fatigue,shortness of breath,chest pain,joint pain,,,,,,,,,,,,,,,,,,,
Fungal Infection,Common,0,100,both,Fever,chills,fatigue,rash,Coughing,,,,,,,,,,,,,,,,,,,,
Fungal Infection Due To Scedosporium Apiospermum,Rare,0,100,both,Coughing,shortness of breath,chest pain,fever,,,,,,,,,,,,,,,,,,,,,
Fungal Infection Of Lung,Rare,0,100,both,Coughing,shortness of breath,chest pain,fever,,,,,,,,,,,,,,,,,,,,,
Fungal Infection Of Skin,Common,0,100,both,Itching,redness,scaling,cracking,peeling of the skin,sometimes with raised bumps or blisters,,,,,,,,,,,,,,,,,,,
Fungal Keratitis,Rare,0,100,both,Eye pain,redness,blurred vision,Sensitivity to light (photophobia),excessive tearing,,,,,,,,,,,,,,,,,,,,
Fungal Meningitis,Rare,0,100,both,Headache,fever,stiff neck,nausea,vomiting,confusion,Sensitivity to light (photophobia),,,,,,,,,,,,,,,,,,
Fungal Sepsis,Rare,0,100,both,Fever,chills,rapid heart rate,nausea,low blood pressure,confusion,,,,,,,,,,,,,,,,,,,
Fungal Urinary Tract Infection,Rare,0,100,both,Urinary urgency,,dysuria,Blood in urine,flank pain,,,,,,,,,,,,,,,,,,,,
Furunculosis,Common,0,100,both,Painful,red,swollen skin lesion with a central core of pus,,,,,,,,,,,,,,,,,,,,,,
Fusarium Infection,Rare,0,100,both,Fever,Coughing,shortness of breath,chest pain,or localized symptoms,,,,,,,,,,,,,,,,,,,,
Fusobacterium Endometritis,Rare,18,60,female,Pelvic pain,abnormal vaginal bleeding,fever,"foul,smelling vaginal discharge",,,,,,,,,,,,,,,,,,,,,
Fusobacterium Pelvic Inflammatory Disease,Rare,15,50,female,Pelvic pain,abnormal vaginal bleeding,fever,"foul,smelling vaginal discharge",,,,,,,,,,,,,,,,,,,,,
Fusospirochetal Pharyngitis,Very rare,0,100,both,Sore throat,difficulty swallowing,fever,swollen lymph nodes in the neck,,,,,,,,,,,,,,,,,,,,,
Ganglion Cyst,Common,20,70,both,Painless lump or mass,often on the wrist or hand,that may change in size,,,,,,,,,,,,,,,,,,,,,,
Gardnerella Vaginalis Bacterial Vaginosis,Common,18,60,female,Thin,"grayish,white vaginal discharge with a fishy odor",vaginal itching,burning during urination,,,,,,,,,,,,,,,,,,,,,
Gas Gangrene Caused By Clostridium Perfringens,Rare,0,100,both,Severe pain,swelling,blisters,darkening of the skin,gas bubbles under the skin,,,,,,,,,,,,,,,,,,,,
Gastric Cancer,Common,40,80,both,Indigestion,abdominal pain,Weight loss,vomiting blood,black stools,,,,,,,,,,,,,,,,,,,,
Gastric Hypersecretion With Systemic Mastocytosis,Very rare,20,70,both,Excessive stomach acid production leading to ulcers,diarrhea,Abdominal Pain,flushing,itching,headache,,,,,,,,,,,,,,,,,,,
Gastric Ulcer,Common,20,80,both,Burning stomach pain,bloating,nausea,vomiting,heartburn,loss of appetite,,,,,,,,,,,,,,,,,,,
Gastritis,Common,0,100,both,Stomach pain or discomfort,nausea,vomiting,bloating,indigestion,,,,,,,,,,,,,,,,,,,,
Gastroenteritis Due To Salmonella,Common,0,100,both,Diarrhea,nausea,vomiting,Abdominal cramping,fever,headache,,,,,,,,,,,,,,,,,,,
Gastroenteritis Due To Shigella,Uncommon,0,100,both,Diarrhea (which may contain blood or mucus),Abdominal cramping,fever,nausea,vomiting,,,,,,,,,,,,,,,,,,,,
Gastroesophageal Reflux Disease,Common,0,100,both,Heartburn,regurgitation of stomach contents,chest pain,difficulty swallowing,coughing,,,,,,,,,,,,,,,,,,,,
Gastrointestinal Anthrax,Rare,20,60,both,Nausea,vomiting,Abdominal Pain,Diarrhea (which may contain blood or mucus),fever,abdominal swelling,difficulty swallowing,,,,,,,,,,,,,,,,,,
